"nome","sexo","total","decada"
"Linda","F","80431","1950"
"Linda","F","73933","1950"
"Mary","F","68001","1950"
"Michael","M","92709","1950"
"Michael","M","90633","1950"
"Michael","M","90519","1950"
"Lisa","F","60268","1960"
"Lisa","F","56913","1960"
"Lisa","F","56039","1960"
"Michael","M","86916","1960"
"David","M","85931","1960"
"Michael","M","85227","1960"
"Jennifer","F","63606","1970"
"Jennifer","F","63111","1970"
"Jennifer","F","62454","1970"
"Michael","M","85321","1970"
"Michael","M","77611","1970"
"Michael","M","71426","1970"
"Jennifer","F","58385","1980"
"Jennifer","F","57109","1980"
"Jennifer","F","57041","1980"
"Michael","M","68752","1980"
"Michael","M","68666","1980"
"Michael","M","68204","1980"
"Jessica","F","46466","1990"
"Ashley","F","45549","1990"
"Ashley","F","43482","1990"
"Michael","M","65274","1990"
"Michael","M","60781","1990"
"Michael","M","54377","1990"
"Emily","F","25952","2000"
"Emily","F","25685","2000"
"Emily","F","25052","2000"
"Jacob","M","34465","2000"
"Jacob","M","32527","2000"
"Michael","M","32025","2000"
"Isabella","F","22883","2010"
"Sophia","F","22267","2010"
"Sophia","F","21816","2010"
"Jacob","M","22082","2010"
"Jacob","M","20331","2010"
"Mason","M","19488","2010"
